,country,region,ladder_score,Std Err,upperwhisker,lowerwhisker,GDP_per_capita,Social support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,eb_GDP_per_capita,eb_social_support,eb_healthy_life_expectancy,eb_freedom_to_make_life_choices,eb_generosity,eb_perceptions_of_corruption,dystopia_plus_residual,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
33,Lithuania,Central and Eastern Europe,6.255,0.045,6.343999999999999,6.167000000000001,10.499,0.935,67.906,0.773,-0.203,0.826,2.43,1.35,1.065,0.612,0.47600000000000003,0.055999999999999994,0.073,2.6239999999999997,Europe,278809,4384.0,267725.0,6700.0,45.0,103865,1633.0,3769808.0,1404371.0,2684340
34,Cyprus,Western Europe,6.223,0.049,6.319,6.127999999999999,10.575999999999999,0.802,73.898,0.763,-0.015,0.8440000000000001,2.43,1.3769999999999998,0.765,0.8009999999999999,0.46399999999999997,0.17800000000000002,0.061,2.5780000000000003,Asia,75860,374.0,72485.0,3001.0,20.0,62380,308.0,7842227.0,6448654.0,1216103
35,Estonia,Central and Eastern Europe,6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527,2.43,1.344,1.079,0.64,0.6409999999999999,0.11900000000000001,0.263,2.103,Europe,131085,1269.0,127416.0,2400.0,6.0,98751,956.0,1529150.0,1151968.0,1327424
36,Panama,Latin America and Caribbean,6.18,0.073,6.3229999999999995,6.0360000000000005,10.35,0.8959999999999999,69.652,0.872,-0.166,0.856,2.43,1.298,0.976,0.667,0.596,0.079,0.053,2.509,North America,403778,6545.0,384703.0,12530.0,84.0,92141,1494.0,2998145.0,684165.0,4382196
37,Uzbekistan,Commonwealth of Independent States,6.178999999999999,0.068,6.312,6.045,8.836,0.9179999999999999,65.255,0.97,0.311,0.515,2.43,0.769,1.0270000000000001,0.528,0.716,0.391,0.271,2.477,Asia,111153,740.0,107696.0,2717.0,23.0,3274,22.0,1377915.0,40586.0,33950900
38,Chile,Latin America and Caribbean,6.172000000000001,0.046,6.2620000000000005,6.081,10.071,0.882,70.0,0.742,-0.044000000000000004,0.83,2.43,1.2,0.946,0.6779999999999999,0.43799999999999994,0.159,0.07,2.682,South America,1555902,32545.0,1494284.0,29073.0,2994.0,80703,1688.0,16972436.0,880340.0,19279402
39,Poland,Central and Eastern Europe,6.166,0.04,6.245,6.087000000000001,10.382,0.898,69.702,0.841,-0.165,0.735,2.43,1.3090000000000002,0.982,0.6679999999999999,0.5579999999999999,0.08,0.13,2.438,Europe,2879912,75021.0,2651787.0,153104.0,153.0,76177,1984.0,17405420.0,460396.0,37805297
40,Kazakhstan,Commonwealth of Independent States,6.152,0.047,6.242999999999999,6.06,10.155,0.9520000000000001,65.2,0.853,-0.069,0.733,2.43,1.23,1.103,0.527,0.573,0.14300000000000002,0.132,2.4459999999999997,Asia,425573,4375.0,396396.0,24802.0,221.0,22399,230.0,11575012.0,609215.0,18999894
41,Romania,Central and Eastern Europe,6.14,0.057,6.252999999999999,6.027,10.284,0.8320000000000001,67.355,0.845,-0.21899999999999997,0.938,2.43,1.275,0.8320000000000001,0.595,0.564,0.045,0.001,2.83,Europe,1080792,33786.0,1045351.0,1655.0,73.0,56557,1768.0,9805932.0,513140.0,19109644
42,Kuwait,Middle East and North Africa,6.106,0.066,6.235,5.977,10.817,0.843,66.9,0.867,-0.10400000000000001,0.736,2.43,1.4609999999999999,0.857,0.58,0.591,0.12,0.13,2.3680000000000003,Asia,356687,1969.0,336122.0,18596.0,296.0,82313,454.0,2976536.0,686900.0,4333286
43,Serbia,Central and Eastern Europe,6.077999999999999,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,1.101,0.924,0.634,0.48200000000000004,0.18899999999999997,0.066,2.682,Europe,716562,7047.0,707591.0,1924.0,12.0,82342,810.0,4414477.0,507279.0,8702273
